fecha,producto_id,cantidad_vendida,precio,stock_actual
2024-01-20,Bread-White,79,2.0,363
2024-01-20,Egg-Carton,132,3.5,538
2024-01-21,Milk-1L,82,1.5,155
2024-01-21,Bread-White,136,2.0,297
2024-01-21,Egg-Carton,59,3.5,545
2024-01-22,Milk-1L,75,1.5,529
2024-01-22,Bread-White,108,2.0,750
2024-01-22,Egg-Carton,150,3.5,569
2024-01-23,Milk-1L,61,1.5,729
2024-01-23,Bread-White,115,2.0,263
2024-01-23,Egg-Carton,97,3.5,427
2024-01-24,Milk-1L,113,1.5,725
2024-01-24,Bread-White,137,2.0,782
2024-01-24,Egg-Carton,53,3.5,619
2024-01-25,Milk-1L,125,1.5,483
2024-01-25,Bread-White,79,2.0,124
2024-01-25,Egg-Carton,66,3.5,340
2024-01-26,Milk-1L,73,1.5,342
2024-01-26,Bread-White,131,2.0,186
2024-01-26,Egg-Carton,79,3.5,145
2024-01-27,Milk-1L,57,1.5,199
2024-01-27,Bread-White,76,2.0,594
2024-01-27,Egg-Carton,61,3.5,696
2024-01-28,Milk-1L,146,1.5,210
2024-01-28,Bread-White,122,2.0,768
2024-01-28,Egg-Carton,125,3.5,114
2024-01-29,Milk-1L,84,1.5,497
2024-01-29,Bread-White,111,2.0,422
2024-01-29,Egg-Carton,126,3.5,591
2024-01-30,Milk-1L,61,1.5,394
2024-01-30,Bread-White,131,2.0,243
2024-01-30,Egg-Carton,75,3.5,576
2024-01-31,Milk-1L,59,1.5,273
2024-01-31,Bread-White,112,2.0,735
2024-01-31,Egg-Carton,118,3.5,634
2024-02-01,Milk-1L,113,1.5,181
2024-02-01,Bread-White,67,2.0,538
2024-02-01,Egg-Carton,58,3.5,713
2024-02-02,Milk-1L,96,1.5,715
2024-02-02,Bread-White,83,2.0,591
2024-02-02,Egg-Carton,68,3.5,680
2024-02-03,Milk-1L,139,1.5,800
2024-02-03,Bread-White,54,2.0,217
2024-02-03,Egg-Carton,56,3.5,577
2024-02-04,Milk-1L,101,1.5,292
2024-02-04,Bread-White,72,2.0,172
2024-02-04,Egg-Carton,97,3.5,337
2024-02-05,Milk-1L,144,1.5,121
2024-02-05,Bread-White,144,2.0,628
2024-02-05,Egg-Carton,118,3.5,551
2024-02-06,Milk-1L,141,1.5,214
2024-02-06,Bread-White,129,2.0,541
2024-02-06,Egg-Carton,127,3.5,130
2024-02-07,Milk-1L,115,1.5,780
2024-02-07,Bread-White,110,2.0,373
2024-02-07,Egg-Carton,138,3.5,412
2024-02-08,Milk-1L,110,1.5,434
2024-02-08,Bread-White,59,2.0,155
2024-02-08,Egg-Carton,138,3.5,724
2024-02-09,Milk-1L,104,1.5,585
2024-02-09,Bread-White,85,2.0,748
2024-02-09,Egg-Carton,93,3.5,685
2024-02-10,Milk-1L,89,1.5,150
2024-02-10,Bread-White,132,2.0,594
2024-02-10,Egg-Carton,142,3.5,424
2024-02-11,Milk-1L,122,1.5,657
2024-02-11,Bread-White,95,2.0,274
2024-02-11,Egg-Carton,139,3.5,370
2024-02-12,Milk-1L,92,1.5,606
2024-02-12,Bread-White,85,2.0,102
2024-02-12,Egg-Carton,77,3.5,691
2024-02-13,Milk-1L,102,1.5,644
2024-02-13,Bread-White,134,2.0,468
2024-02-13,Egg-Carton,85,3.5,730
2024-02-14,Milk-1L,112,1.5,597
2024-02-14,Bread-White,142,2.0,116
2024-02-14,Egg-Carton,97,3.5,288
2024-02-15,Milk-1L,75,1.5,225
2024-02-15,Bread-White,98,2.0,672
2024-02-15,Egg-Carton,83,3.5,287
2024-02-16,Milk-1L,54,1.5,500
2024-02-16,Bread-White,109,2.0,504
2024-02-16,Egg-Carton,115,3.5,246
2024-02-17,Milk-1L,80,1.5,797
2024-02-17,Bread-White,64,2.0,363
2024-02-17,Egg-Carton,89,3.5,630
2024-02-18,Milk-1L,93,1.5,508
2024-02-18,Bread-White,134,2.0,211
2024-02-18,Egg-Carton,88,3.5,275
2024-02-19,Milk-1L,137,1.5,281
2024-02-19,Bread-White,71,2.0,742
2024-02-19,Egg-Carton,121,3.5,270
2024-02-20,Milk-1L,129,1.5,425
2024-02-20,Bread-White,89,2.0,792
2024-02-20,Egg-Carton,130,3.5,316
2024-02-21,Milk-1L,103,1.5,200
2024-02-21,Bread-White,98,2.0,256
2024-02-21,Egg-Carton,135,3.5,776
2024-02-22,Milk-1L,100,1.5,558
2024-02-22,Bread-White,95,2.0,292
2024-02-22,Egg-Carton,79,3.5,504
2024-02-23,Milk-1L,72,1.5,194
2024-02-23,Bread-White,95,2.0,414
2024-02-23,Egg-Carton,142,3.5,437
2024-02-24,Milk-1L,77,1.5,119
2024-02-24,Bread-White,91,2.0,192
2024-02-24,Egg-Carton,99,3.5,262
2024-02-25,Milk-1L,85,1.5,289
2024-02-25,Bread-White,101,2.0,750
2024-02-25,Egg-Carton,76,3.5,513
2024-02-26,Milk-1L,122,1.5,359
2024-02-26,Bread-White,138,2.0,153
2024-02-26,Egg-Carton,115,3.5,552
2024-02-27,Milk-1L,116,1.5,531
2024-02-27,Bread-White,88,2.0,381
2024-02-27,Egg-Carton,117,3.5,107
2024-02-28,Milk-1L,139,1.5,327
2024-02-28,Bread-White,124,2.0,218
2024-02-28,Egg-Carton,91,3.5,486
2024-02-29,Milk-1L,143,1.5,246
2024-02-29,Bread-White,82,2.0,283
2024-02-29,Egg-Carton,78,3.5,374
2024-03-01,Milk-1L,97,1.5,757
2024-03-01,Bread-White,60,2.0,161
2024-03-01,Egg-Carton,68,3.5,256
2024-03-02,Milk-1L,93,1.5,417
2024-03-02,Bread-White,82,2.0,424
2024-03-02,Egg-Carton,96,3.5,781
2024-03-03,Milk-1L,94,1.5,449
2024-03-03,Bread-White,56,2.0,718
2024-03-03,Egg-Carton,138,3.5,614
2024-03-04,Milk-1L,104,1.5,473
2024-03-04,Bread-White,142,2.0,132
2024-03-04,Egg-Carton,52,3.5,241
2024-03-05,Milk-1L,114,1.5,249
2024-03-05,Bread-White,56,2.0,774
2024-03-05,Egg-Carton,81,3.5,382
2024-03-06,Milk-1L,145,1.5,571
2024-03-06,Bread-White,56,2.0,667
2024-03-06,Egg-Carton,123,3.5,123
2024-03-07,Milk-1L,73,1.5,776
2024-03-07,Bread-White,122,2.0,638
2024-03-07,Egg-Carton,63,3.5,125
2024-03-08,Milk-1L,68,1.5,591
2024-03-08,Bread-White,141,2.0,619
2024-03-08,Egg-Carton,80,3.5,775
2024-03-09,Milk-1L,65,1.5,142
2024-03-09,Bread-White,113,2.0,171
2024-03-09,Egg-Carton,113,3.5,658
2024-03-10,Milk-1L,100,1.5,414
2024-03-10,Bread-White,68,2.0,699
2024-03-10,Egg-Carton,142,3.5,225
2024-03-11,Milk-1L,119,1.5,168
2024-03-11,Bread-White,76,2.0,661
2024-03-11,Egg-Carton,110,3.5,721
2024-03-12,Milk-1L,81,1.5,781
2024-03-12,Bread-White,69,2.0,214
2024-03-12,Egg-Carton,114,3.5,109
2024-03-13,Milk-1L,70,1.5,232
2024-03-13,Bread-White,149,2.0,778
2024-03-13,Egg-Carton,114,3.5,458
2024-03-14,Milk-1L,131,1.5,768
2024-03-14,Bread-White,89,2.0,708
2024-03-14,Egg-Carton,52,3.5,594
2024-03-15,Milk-1L,104,1.5,612
2024-03-15,Bread-White,147,2.0,615
2024-03-15,Egg-Carton,53,3.5,242
2024-03-16,Milk-1L,111,1.5,647
2024-03-16,Bread-White,57,2.0,657
2024-03-16,Egg-Carton,140,3.5,273
2024-03-17,Milk-1L,137,1.5,159
2024-03-17,Bread-White,129,2.0,334
2024-03-17,Egg-Carton,144,3.5,502
2024-03-18,Milk-1L,138,1.5,628
2024-03-18,Bread-White,56,2.0,605
2024-03-18,Egg-Carton,90,3.5,653
2024-03-19,Milk-1L,78,1.5,764
2024-03-19,Bread-White,66,2.0,574
2024-03-19,Egg-Carton,83,3.5,552
2024-03-20,Milk-1L,140,1.5,711
2024-03-20,Bread-White,130,2.0,616
2024-03-20,Egg-Carton,101,3.5,353
2024-03-21,Milk-1L,124,1.5,115
2024-03-21,Bread-White,75,2.0,265
2024-03-21,Egg-Carton,89,3.5,474
2024-03-22,Milk-1L,82,1.5,533
2024-03-22,Bread-White,78,2.0,161
2024-03-22,Egg-Carton,96,3.5,261
2024-03-23,Milk-1L,103,1.5,354
2024-03-23,Bread-White,88,2.0,201
2024-03-23,Egg-Carton,146,3.5,329
2024-03-24,Milk-1L,62,1.5,244
2024-03-24,Bread-White,147,2.0,481
2024-03-24,Egg-Carton,148,3.5,208
2024-03-25,Milk-1L,94,1.5,163
2024-03-25,Bread-White,51,2.0,213
2024-03-25,Egg-Carton,80,3.5,278
2024-03-26,Milk-1L,83,1.5,128
2024-03-26,Bread-White,103,2.0,516
2024-03-26,Egg-Carton,130,3.5,494
2024-03-27,Milk-1L,56,1.5,705
2024-03-27,Bread-White,104,2.0,395
2024-03-27,Egg-Carton,53,3.5,763
2024-03-28,Milk-1L,133,1.5,748
2024-03-28,Bread-White,139,2.0,701
2024-03-28,Egg-Carton,136,3.5,662
2024-03-29,Milk-1L,115,1.5,187
2024-03-29,Bread-White,149,2.0,489
2024-03-29,Egg-Carton,127,3.5,669
2024-03-30,Milk-1L,69,1.5,335
2024-03-30,Bread-White,58,2.0,491
2024-03-30,Egg-Carton,63,3.5,645
2024-03-31,Milk-1L,143,1.5,358
2024-03-31,Bread-White,86,2.0,370
2024-03-31,Egg-Carton,107,3.5,546
2024-04-01,Milk-1L,145,1.5,502
2024-04-01,Bread-White,103,2.0,569
2024-04-01,Egg-Carton,85,3.5,592
2024-04-02,Milk-1L,98,1.5,578
2024-04-02,Bread-White,80,2.0,781
2024-04-02,Egg-Carton,76,3.5,423
2024-04-03,Milk-1L,125,1.5,380
2024-04-03,Bread-White,79,2.0,241
2024-04-03,Egg-Carton,122,3.5,130
2024-04-04,Milk-1L,96,1.5,674
2024-04-04,Bread-White,106,2.0,261
2024-04-04,Egg-Carton,104,3.5,394
2024-04-05,Milk-1L,68,1.5,461
2024-04-05,Bread-White,129,2.0,420
2024-04-05,Egg-Carton,134,3.5,778
2024-04-06,Milk-1L,128,1.5,510
2024-04-06,Bread-White,145,2.0,227
2024-04-06,Egg-Carton,75,3.5,202
2024-04-07,Milk-1L,99,1.5,688
2024-04-07,Bread-White,62,2.0,652
2024-04-07,Egg-Carton,111,3.5,706
2024-04-08,Milk-1L,60,1.5,589
2024-04-08,Bread-White,92,2.0,787
2024-04-08,Egg-Carton,87,3.5,700
2024-04-09,Milk-1L,142,1.5,138
2024-04-09,Bread-White,53,2.0,404
2024-04-09,Egg-Carton,150,3.5,724
2024-04-10,Milk-1L,141,1.5,322
2024-04-10,Bread-White,122,2.0,139
2024-04-10,Egg-Carton,150,3.5,629
2024-04-11,Milk-1L,110,1.5,603
2024-04-11,Bread-White,90,2.0,160
2024-04-11,Egg-Carton,117,3.5,389
2024-04-12,Milk-1L,132,1.5,483
2024-04-12,Bread-White,88,2.0,361
2024-04-12,Egg-Carton,87,3.5,367
2024-04-13,Milk-1L,101,1.5,202
2024-04-13,Bread-White,125,2.0,592
2024-04-13,Egg-Carton,92,3.5,738
2024-04-14,Milk-1L,69,1.5,562
2024-04-14,Bread-White,51,2.0,161
2024-04-14,Egg-Carton,67,3.5,490
2024-04-15,Milk-1L,141,1.5,377
2024-04-15,Bread-White,77,2.0,294
2024-04-15,Egg-Carton,65,3.5,518
2024-04-16,Milk-1L,58,1.5,568
2024-04-16,Bread-White,137,2.0,515
2024-04-16,Egg-Carton,85,3.5,548
2024-04-17,Milk-1L,147,1.5,380
2024-04-17,Bread-White,53,2.0,404
2024-04-17,Egg-Carton,121,3.5,217
2024-04-18,Milk-1L,61,1.5,785
2024-04-18,Bread-White,65,2.0,269
2024-04-18,Egg-Carton,135,3.5,352
2024-04-19,Milk-1L,80,1.5,668
2024-04-19,Bread-White,102,2.0,289
2024-04-19,Egg-Carton,136,3.5,695
2024-04-20,Milk-1L,76,1.5,436
2024-04-20,Bread-White,115,2.0,775
2024-04-20,Egg-Carton,65,3.5,266
2024-04-21,Milk-1L,108,1.5,618
2024-04-21,Bread-White,67,2.0,609
2024-04-21,Egg-Carton,136,3.5,710
2024-04-22,Milk-1L,70,1.5,775
2024-04-22,Bread-White,64,2.0,205
2024-04-22,Egg-Carton,66,3.5,259
2024-04-23,Milk-1L,64,1.5,419
2024-04-23,Bread-White,87,2.0,737
2024-04-23,Egg-Carton,95,3.5,757
2024-04-24,Milk-1L,71,1.5,453
2024-04-24,Bread-White,103,2.0,473
2024-04-24,Egg-Carton,126,3.5,740
2024-04-25,Milk-1L,76,1.5,352
2024-04-25,Bread-White,57,2.0,514
2024-04-25,Egg-Carton,88,3.5,650
2024-04-26,Milk-1L,52,1.5,125
2024-04-26,Bread-White,55,2.0,190
2024-04-26,Egg-Carton,122,3.5,240
2024-04-27,Milk-1L,135,1.5,628
2024-04-27,Bread-White,98,2.0,271
2024-04-27,Egg-Carton,126,3.5,123
2024-04-28,Milk-1L,117,1.5,556
2024-04-28,Bread-White,89,2.0,471
2024-04-28,Egg-Carton,54,3.5,504
2024-04-29,Milk-1L,84,1.5,497
2024-04-29,Bread-White,54,2.0,628
2024-04-29,Egg-Carton,66,3.5,185
